year,month,37N,38N,39N,37_39_BEAUTI,,
2012,6,18.337,21.78,29.181,,,
2012,7,7.178,10.787,17.74,,,
2012,8,3.545,5.92,8.836,,,
2012,9,2.249,2.728,5.24,,,
2012,10,0.418,1.121,1.631,,,
2012,11,0.044,-0.323,-0.22,,,
2012,12,0.568,1.963,1.887,,,
2013,1,8.218,4.485,7.699,,,
2013,2,12.899,17.369,21.821,17.363,,
2013,3,9.91,12.425,17.677,13.33733333,,
2013,4,20.3,32.431,41.843,31.52466667,20.74166667,20.74166667
2013,5,16.85,16.247,22.949,,,
2013,6,11.988,17.219,26.28,,,
2013,7,4.963,13.095,22.459,,,
2013,8,5.38,8.198,8.687,,,
2013,9,3.318,4.421,4.653,,,
2013,10,5.333,8.925,10.806,,,
2013,11,4.302,6.477,5.993,,,
2013,12,5.733,4.754,10.575,,,
2014,1,2.116,-0.488,0.965,,,
2014,2,2.2,1.321,1.423,1.648,,
2014,3,0.51,1.956,3.836,2.100666667,,
2014,4,7.396,9.833,10.452,9.227,4.325222222,4.325222222
2014,5,15.202,19.9,22.189,,,
2014,6,11.879,20.057,34.233,,,
2014,7,3.595,5.973,7.378,,,
2014,8,1.809,3.034,11.138,,,
2014,9,0.449,1.433,3.164,,,
2014,10,0.315,0.281,0.632,,,
2014,11,0.076,0.035,0.025,,,
2014,12,0.134,0.151,0.356,,,
2015,1,0.759,0.251,0.416,,,
2015,2,0.417,0.515,1.166,0.699333333,,
2015,3,3.003,4.182,5.11,4.098333333,,
2015,4,13.043,21.715,22.211,18.98966667,7.929111111,7.929111111
2015,5,9.97,17.522,27.514,,,
2015,6,7.399,11.681,17.491,,,
2015,7,0.816,3.06,6.59,,,
2015,8,1.209,1.651,5.085,,,
2015,9,0.76,2.323,4.097,,,
2015,10,0.073,0.311,0.957,,,
2015,11,1.979,1.341,1.766,,,
2015,12,1.574,0.901,1.275,,,
2016,1,-1.7,-1.493,-5.571,,,
2016,2,2.276,0.686,0.759,1.240333333,,
2016,3,2.948,2.883,2.094,2.641666667,,
2016,4,10.087,11.897,13.095,11.693,5.191666667,5.191666667
2016,5,5.361,13.788,19.51,,,
2016,6,10.508,15.792,19.4,,,
2016,7,7.956,15.477,20.05,,,
2016,8,2.548,3.982,8.25,,,
2016,9,3.532,4.885,10.373,,,
2016,10,1.126,0.33,1.013,,,
2016,11,0.663,0.279,0.007,,,
2016,12,3.953,1.971,3.118,,,
2017,1,-0.972,-0.285,-0.16,,,
2017,2,-1.263,0.645,-1.422,-0.68,,
2017,3,4.604,3.923,3.607,4.044666667,,
2017,4,7.017,8.157,8.559,7.911,3.758555556,3.758555556
2017,5,17.217,25,30.684,,,
2017,6,11.665,15.916,20.73,,,
2017,7,9.757,13.538,24.207,,,
2017,8,5.055,2.456,8.977,,,
2017,9,0.361,-0.752,6.09,,,
2017,10,3.793,6.56,10.005,,,
2017,11,0.072,0.154,-0.466,,,
2017,12,2.166,2.071,3.236,,,
2018,1,0.572,0.458,-0.251,,,
2018,2,10.367,12.977,17.288,13.544,,
2018,3,0.333,0.235,2.576,1.048,,
2018,4,6.526,9.34,11.541,9.135666667,7.909222222,7.909222222
2018,5,13.016,19.525,29.461,,,
2018,6,18.374,24.909,33.899,,,
2018,7,5.462,8.057,17.698,,,
2018,8,5.185,7.778,15.679,,,
2018,9,5.195,8.627,13.525,,,
2018,10,1.588,3.94,4.326,,,
2018,11,1.245,1.526,5.091,,,
2018,12,2.201,2.064,2.228,,,
2019,1,-2.422,-1.952,-4.101,,,
2019,2,0.802,2.285,4.299,2.462,,
2019,3,2.459,2.017,2.753,2.409666667,,
2019,4,9.829,12.911,20.871,14.537,6.469555556,6.469555556
2019,5,5.25,10.946,17.315,,,
2019,6,9.53,16.905,39.943,,,
2019,7,10.202,16.21,27.213,,,
2019,8,6.099,3.503,11.442,,,
2019,9,2.53,4.293,9.937,,,
2019,10,3.718,4.08,6.361,,,
2019,11,2.712,3.933,6.422,,,
2019,12,-2.912,-3.124,-2.968,,,
2020,1,3.012,1.881,2.827,,,
2020,2,10.199,15.698,22.093,15.99666667,,
2020,3,1.945,4.962,11.349,6.085333333,,
2020,4,9.511,10.482,15.231,11.74133333,11.27444444,11.27444444
2020,5,8.226,9.021,16.398,,,
2020,6,12.397,15.51,27.05,,,
2020,7,10.41,9.731,21.492,,,
2020,8,6.766,7.413,16.289,,,
2020,9,3.812,2.113,4.839,,,
2020,10,2.504,3.201,8.4,,,
2020,11,5.507,4.672,7.688,,,
2020,12,5.466,4.618,6.203,,,
2021,1,6.213,3.262,3.997,,,
2021,2,12.283,17.981,22.337,17.53366667,,
2021,3,11.293,9.242,21.203,13.91266667,,
2021,4,13.539,16.318,37.21,22.35566667,17.934,17.934
2021,5,27.867,31.506,57.187,,,
2021,6,7.158,7.774,25.68,,,
2021,7,7.998,14.709,38.577,,,
2021,8,3.755,5.816,20.228,,,
2021,9,3.895,4.53,9.382,,,
2021,10,1.928,2.671,6.241,,,
2021,11,1.191,0.358,0.921,,,
2021,12,1.026,0.863,-1.476,,,
2022,1,2.628,-0.574,-0.337,,,
2022,2,7.33,7.653,14.33,9.771,,
2022,3,13.444,13.23,14.988,13.88733333,,
2022,4,20.307,23.285,30.138,24.57666667,16.07833333,16.07833333
2022,5,32.946,30.518,32.755,,,
2022,6,15.702,11.39,19.116,,,
2022,7,8.029,6.984,17.777,,,
2022,8,5.352,4.835,11.966,,,
2022,9,2.918,3.587,7.028,,,
2022,10,2.984,6.214,8.392,,,
2022,11,3.148,2.286,2.981,,,
2022,12,0.334,-0.953,-1.669,,,
2023,1,-1.116,-0.875,-1.775,,,
2023,2,6.468,9.115,13.257,9.613333333,,
2023,3,3.773,6.304,4.83,4.969,,
2023,4,17.822,18.852,18.912,18.52866667,11.037,11.037
2023,5,7.26,12.557,23.983,,,
2023,6,8.716,10.089,25.376,,,
2023,7,12.494,12.661,26.854,,,
2023,8,5.247,5.552,14.553,,,
2023,9,1.716,2.772,8.066,,,
2023,10,1.159,1.459,3.842,,,
